market,latitude,longitude,commodity,unit,price,year,month
Arusha (urban),-3.366667,36.683333,Rice,100 KG,162803.0,2015,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,136800.0,2015,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,60883.0,2015,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,170333.0,2015,10
Arusha (urban),-3.366667,36.683333,Beans,100 KG,145063.0,2015,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,66731.0,2015,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,182212.0,2015,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,170128.0,2015,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,69600.0,2015,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,174000.0,2015,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,161000.0,2015,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,70515.0,2016,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,158859.0,2016,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,168208.0,2016,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,66277.78,2016,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,185277.78,2016,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,143055.56,2016,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,59908.0,2016,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,185250.0,2016,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,131617.0,2016,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,54612.0,2016,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,168846.0,2016,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,124833.0,2016,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,47955.0,2016,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,161515.0,2016,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,131970.0,2016,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50972.0,2016,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,158194.0,2016,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,122472.0,2016,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,52188.0,2016,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,163146.0,2016,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,133035.0,2016,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,49625.0,2016,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,164167.0,2016,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,137660.0,2016,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,51514.0,2016,9
